Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,0.61,0.01,0.3910324629600892
75% Corpus,12,0.61,0.31,0.4685443631610551
75% Corpus,12,0.61,0.61,0.470510339547268
75% Corpus,12,0.61,0.9099999999999999,0.3947531181663122
75% Corpus,12,0.61,symmetric,0.4058676022366884
75% Corpus,12,0.9099999999999999,0.01,0.3938838985889337
75% Corpus,12,0.9099999999999999,0.31,0.4616912465384994
75% Corpus,12,0.9099999999999999,0.61,0.4738427072369484
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.3228778004374583
75% Corpus,12,0.9099999999999999,symmetric,0.3985370851929118
75% Corpus,12,symmetric,0.01,0.3753754643952613
75% Corpus,12,symmetric,0.31,0.4296034585577432
75% Corpus,12,symmetric,0.61,0.3566417349703338
75% Corpus,12,symmetric,0.9099999999999999,0.4193076854641457
75% Corpus,12,symmetric,symmetric,0.4002637928453735
75% Corpus,12,asymmetric,0.01,0.3569841979547128
75% Corpus,12,asymmetric,0.31,0.4329996662237649
75% Corpus,12,asymmetric,0.61,0.4304724360988612
75% Corpus,12,asymmetric,0.9099999999999999,0.454483999499683
75% Corpus,12,asymmetric,symmetric,0.4065582473767994
75% Corpus,13,0.01,0.01,0.3509010094564209
75% Corpus,13,0.01,0.31,0.3764474571187025
75% Corpus,13,0.01,0.61,0.4399365007658186
75% Corpus,13,0.01,0.9099999999999999,0.470237816867691
75% Corpus,13,0.01,symmetric,0.3964802793061224
75% Corpus,13,0.31,0.01,0.3727424595102178
75% Corpus,13,0.31,0.31,0.4424540585870659
75% Corpus,13,0.31,0.61,0.4062717746726223
75% Corpus,13,0.31,0.9099999999999999,0.4083251119425435
75% Corpus,13,0.31,symmetric,0.3825739452681231
75% Corpus,13,0.61,0.01,0.3682579374116545
75% Corpus,13,0.61,0.31,0.4151972717547356
75% Corpus,13,0.61,0.61,0.4687203719189992
75% Corpus,13,0.61,0.9099999999999999,0.4044221341340506
75% Corpus,13,0.61,symmetric,0.3730833769314384
75% Corpus,13,0.9099999999999999,0.01,0.4002293978434611
75% Corpus,13,0.9099999999999999,0.31,0.4491549794922828
75% Corpus,13,0.9099999999999999,0.61,0.4518470858449191
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.3765650378708276
75% Corpus,13,0.9099999999999999,symmetric,0.3817185140530258
75% Corpus,13,symmetric,0.01,0.3672219276551957
75% Corpus,13,symmetric,0.31,0.3885533134128384
75% Corpus,13,symmetric,0.61,0.3948768204779029
75% Corpus,13,symmetric,0.9099999999999999,0.4690714231799064
75% Corpus,13,symmetric,symmetric,0.3979094973906781
75% Corpus,13,asymmetric,0.01,0.3838285232507458
75% Corpus,13,asymmetric,0.31,0.4603098141134373
75% Corpus,13,asymmetric,0.61,0.4730465027913626
